tweet,followers_count,retweet_count
https://twitter.com/Riteishd/status/796254860752654339,5501707,211
https://twitter.com/nasscom/status/796254774798651392,58741,19
https://twitter.com/AshleyBellR/status/796254555608641536,146213,12
https://twitter.com/RealDrGina/status/796254499748855809,35890,6
https://twitter.com/TheLoveDre/status/796254488617164801,9666,4
https://twitter.com/girirajsinghbjp/status/796254223382016000,265019,283
https://twitter.com/JohnnyBangor/status/796253951041667072,2078,0
https://twitter.com/sudhirchaudhary/status/796253212982394880,508695,1096
https://twitter.com/baryamureeba/status/796252489729343492,2641,1
https://twitter.com/ItsLacyMusic/status/796250895185014784,4924,0
https://twitter.com/Ramkamal/status/796250859982065664,79162,0
https://twitter.com/KirkJTorrance/status/796249127705309184,3527,1
https://twitter.com/CRNC/status/796249120985980929,73608,368
https://twitter.com/ElizabethEmken/status/796246005230338049,8666,14
https://twitter.com/rhowardbrowne/status/796245349807570944,23024,63
https://twitter.com/Lisa_Matassa/status/796245065995841536,354530,9
https://twitter.com/Naeemaofficial/status/796244544920715264,31817,7
https://twitter.com/RealAlexJones/status/796244216590516225,469574,1408
https://twitter.com/fsxrekal/status/796243331084795904,1534,0
https://twitter.com/briancalley/status/796242650617827331,13332,18
https://twitter.com/fawadrehman/status/796242374339035136,6742,118
https://twitter.com/MikeHaridopolos/status/796242049620213760,7795,3
https://twitter.com/Rodolfollanosok/status/796241947719593985,8857,0
https://twitter.com/NJGOP/status/796241522819825664,10207,11
https://twitter.com/yrnf/status/796241353810251776,32390,253
https://twitter.com/derekahunter/status/796240844277870592,24268,52
https://twitter.com/ChristopherHahn/status/796238252160258048,2595,2
https://twitter.com/jameskanter/status/796238219356569600,11185,6
https://twitter.com/lagop/status/796237220613066752,6072,5
https://twitter.com/gregmcneilly/status/796235418270396416,66433,23
https://twitter.com/TonyNashOnAsia/status/796235030397743104,2531,0
https://twitter.com/SCClemons/status/796224038884478976,26237,6
https://twitter.com/nikthehat/status/796223470598287362,31737,1608
https://twitter.com/TomoNewsUS/status/796223076006436864,14538,2
https://twitter.com/StefanMolyneux/status/796222693037277184,96068,976
https://twitter.com/JennyQTa9/status/796221708424200192,204844,62
https://twitter.com/CodyWolfeMusic/status/796221285164584960,173079,57
https://twitter.com/kamaalrkhan/status/796214748819898370,1670447,156
https://twitter.com/OfficialBoBice/status/796214432225525761,21821,6
https://twitter.com/kubrasait/status/796211089075630080,6982,0
https://twitter.com/bryanboy/status/796209606523494400,586887,1
https://twitter.com/ScottforFlorida/status/796208131000958976,16021,105
https://twitter.com/davidkurten/status/796203728692973568,2523,2
https://twitter.com/DavidAmoyal/status/796203239872102400,63722,18
https://twitter.com/HRajaBJP/status/796200090129960960,5091,2
https://twitter.com/LindaHogan/status/796199678094102528,33112,5
https://twitter.com/sushilkedia/status/796188416723533828,5227,3
https://twitter.com/fawadrehman/status/796155140885643267,6742,1
https://twitter.com/mbahareth/status/796148687051358208,90387,1
https://twitter.com/wwesthoven/status/796124325271240704,1232,0
https://twitter.com/baryamureeba/status/795160418536787968,2641,0
https://twitter.com/SportsPlusShow/status/794730025715109888,147196,0
https://twitter.com/MoDaCoatLFPress/status/794523386290589697,3181,0
https://twitter.com/CNNMoney/status/794329565040623620,1662064,12
https://twitter.com/ThePerezHilton/status/793683407821639681,65464,75
https://twitter.com/JonathanDelArco/status/793645173758537728,7494,32
https://twitter.com/nine_oh/status/797091545707139072,1039044,0
https://twitter.com/jrmusicoffic/status/797081110987542528,140437,0
https://twitter.com/tom_nuttall/status/796981884966305792,12827,10
https://twitter.com/CraigClevenger/status/796934180697276416,3212,1
https://twitter.com/ObamaMalik/status/796862382484180992,66468,685
https://twitter.com/mattnicholas/status/796851411233423360,93892,0
https://twitter.com/GOP/status/796834077714350080,964921,1345
